ESTADO,CIDADE,NUM_JOVEM
PE,SALGUEIRO,211
SP,ARAÇARIGUAMA,211
RN,SANTA CRUZ,211
BA,CANARANA,211
SC,SÃO FRANCISCO DO SUL,211
SP,BARRINHA,211
MT,DIAMANTINO,211
CE,ASSARÉ,211
MG,ESPERA FELIZ,211
SE,SÃO CRISTÓVÃO,211
MG,BOM JESUS DO GALHO,211
MS,PARANAÍBA,211
AL,ATALAIA,211
AL,FEIRA GRANDE,211
SP,ORLÂNDIA,211
PR,CRUZEIRO DO OESTE,211
MS,RIO BRILHANTE,211
RO,CANDEIAS DO JAMARI,211
PA,FLORESTA DO ARAGUAIA,211
SP,GUARIBA,210
AL,JUNQUEIRO,210
GO,URUAÇU,210
PA,LIMOEIRO DO AJURU,210
AC,SENADOR GUIOMARD,210
SP,AGUAÍ,210
SP,ESPÍRITO SANTO DO PINHAL,210
MG,CATAGUASES,210
SP,TANABI,210
RN,SÃO MIGUEL,210
RO,NOVA MAMORÉ,210
GO,NIQUELÂNDIA,210
MG,PIRAPORA,210
CE,BARRO,210
MG,PIEDADE DE CARATINGA,210
MG,PEÇANHA,210
RO,SERINGUEIRAS,210
PE,LAGOA DE ITAENGA,210
AC,ACRELÂNDIA,210
MA,BOM JARDIM,210
PA,JURUTI,210
MA,CHAPADINHA,210
PA,MOCAJUBA,210
AC,PLÁCIDO DE CASTRO,210
MG,JOÃO PINHEIRO,210
RN,MACAÍBA,210
MG,ESPINOSA,210
MG,PEDRO LEOPOLDO,209
AL,IGACI,209
AC,BRASILÉIA,209
CE,QUITERIANÓPOLIS,209
